Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2007Trinidad and TobagoGovernment,0.262688745,0.222432896,18.18181818,2011QatarServices,1365,0.386848474,0.480561109,12.5,Qatar,Services,2011
2007CaribbeanFood,-0.051321755,0.207378696,9.552743992,2004Rest of East AsiaFood,6,-0.252146583,0.222775522,20,Rest of East Asia,Food,2004
2007CaribbeanHousing,-1.027332893,0.319765498,46.57557582,2004Rest of East AsiaGoods,30,NA,NA,NA,Rest of East Asia,Goods,2004
2007CaribbeanPersonal Transportation,0.093890623,0.463459258,44.64425742,2004Rest of East AsiaGovernment,54,0.169813953,0.378656904,63.63636364,Rest of East Asia,Government,2004
2007CaribbeanGoods,0,0,0,2004Rest of East AsiaHousing,78,NA,NA,100,Rest of East Asia,Housing,2004
2007CaribbeanServices,0.050608028,0.431787539,27.28918526,2004Rest of East AsiaPersonal Transportation,126,-0.154568138,3.37E-05,33.33333333,Rest of East Asia,Personal Transportation,2004
2007CaribbeanGross Fixed Capital Formation,0,0,0,2004Rest of East AsiaServices,102,-0.863320009,0.223738328,62.5,Rest of East Asia,Services,2004
2007CaribbeanGovernment,0.160163136,0.36114016,37.46609458,2007Rest of East AsiaFood,150,-0.472032321,0.203319082,20,Rest of East Asia,Food,2007
2007AustriaFood,0.239763702,0.257934842,20,2007Rest of East AsiaGoods,174,NA,NA,NA,Rest of East Asia,Goods,2007
2007AustriaHousing,1.179296221,0.967795671,0,2007Rest of East AsiaGovernment,198,0.178536159,0.381337786,63.63636364,Rest of East Asia,Government,2007
2007AustriaPersonal Transportation,-0.033371741,0.430810048,0,2007Rest of East AsiaHousing,222,NA,NA,100,Rest of East Asia,Housing,2007
2007AustriaGoods,0,0,0,2007Rest of East AsiaPersonal Transportation,270,-0.154483895,3.97E-05,33.33333333,Rest of East Asia,Personal Transportation,2007
2007AustriaServices,0.872641265,0.495251122,25,2007Rest of East AsiaServices,246,-0.846156104,0.227462894,62.5,Rest of East Asia,Services,2007
2007AustriaGross Fixed Capital Formation,0,0,0,2011Rest of East AsiaFood,294,-0.246230377,0.223561638,20,Rest of East Asia,Food,2011
2007AustriaGovernment,0.313243578,0.367725859,9.090909091,2011Rest of East AsiaGoods,318,NA,NA,NA,Rest of East Asia,Goods,2011
2007BelgiumFood,0.532720279,0.286182182,20,2011Rest of East AsiaGovernment,342,0.039014638,0.355029274,63.63636364,Rest of East Asia,Government,2011
2007BelgiumHousing,0.571105728,0.789185778,0,2011Rest of East AsiaHousing,366,NA,NA,100,Rest of East Asia,Housing,2011
2007BelgiumPersonal Transportation,0.536776584,0.479078227,0,2011Rest of East AsiaPersonal Transportation,414,-0.154644486,2.82E-05,33.33333333,Rest of East Asia,Personal Transportation,2011
2007BelgiumGoods,0,0,0,2011Rest of East AsiaServices,390,-0.848812989,0.22688635,62.5,Rest of East Asia,Services,2011
2007BelgiumServices,0.992123252,0.609317659,12.5,2004Rest of Eastern AfricaFood,7,-0.562196639,0.169997485,24.06444898,Rest of Eastern Africa,Food,2004
2007BelgiumGross Fixed Capital Formation,0,0,0,2004Rest of Eastern AfricaGoods,31,NA,NA,NA,Rest of Eastern Africa,Goods,2004
2007BelgiumGovernment,0.444365627,0.378338537,9.090909091,2004Rest of Eastern AfricaGovernment,55,-0.688043892,0.171531345,32.22921067,Rest of Eastern Africa,Government,2004
2007CyprusFood,-0.523196983,0.186899451,20,2004Rest of Eastern AfricaHousing,79,-1.494508119,0.18256816,88.00325975,Rest of Eastern Africa,Housing,2004
2007CyprusHousing,0.47714714,0.761592559,0,2004Rest of Eastern AfricaPersonal Transportation,127,-0.925326036,0.466036604,33.62611329,Rest of Eastern Africa,Personal Transportation,2004
2007CyprusPersonal Transportation,0.14486783,0.446074192,0,2004Rest of Eastern AfricaServices,103,-0.896322305,0.244443067,41.6881418,Rest of Eastern Africa,Services,2004
2007CyprusGoods,0,0,0,2007Rest of Eastern AfricaFood,151,-0.424827836,0.181821346,24.06444898,Rest of Eastern Africa,Food,2007
2007CyprusServices,0.473468988,0.568312148,0,2007Rest of Eastern AfricaGoods,175,NA,NA,NA,Rest of Eastern Africa,Goods,2007
2007CyprusGross Fixed Capital Formation,0,0,0,2007Rest of Eastern AfricaGovernment,199,-0.623739741,0.185327864,31.85909088,Rest of Eastern Africa,Government,2007
2007CyprusGovernment,0.478847991,0.392569077,9.090909091,2007Rest of Eastern AfricaHousing,223,-1.52977633,0.172210794,88.00325975,Rest of Eastern Africa,Housing,2007
2007Czech RepublicFood,-0.028551076,0.233229513,20,2007Rest of Eastern AfricaPersonal Transportation,271,-1.330677772,0.473028123,26.21362286,Rest of Eastern Africa,Personal Transportation,2007
2007Czech RepublicHousing,0.796329258,0.855328131,0,2007Rest of Eastern AfricaServices,247,-0.791914633,0.256699969,40.18854926,Rest of Eastern Africa,Services,2007
2007Czech RepublicPersonal Transportation,0.156755093,0.446988177,0,2011Rest of Eastern AfricaFood,295,-0.349304381,0.188018583,24.06444898,Rest of Eastern Africa,Food,2011
2007Czech RepublicGoods,0,0,0,2011Rest of Eastern AfricaGoods,319,NA,NA,NA,Rest of Eastern Africa,Goods,2011
2007Czech RepublicServices,0.38236684,0.488748961,12.5,2011Rest of Eastern AfricaGovernment,343,-0.519539226,0.198450106,25.72476061,Rest of Eastern Africa,Government,2011
2007Czech RepublicGross Fixed Capital Formation,0,0,0,2011Rest of Eastern AfricaHousing,367,-1.580662407,0.157266863,88.00325975,Rest of Eastern Africa,Housing,2011
2007Czech RepublicGovernment,-0.002371208,0.307342425,9.090909091,2011Rest of Eastern AfricaPersonal Transportation,415,-0.933604892,0.446196551,16.02607598,Rest of Eastern Africa,Personal Transportation,2011
2007DenmarkFood,0.188405688,0.253214409,20,2011Rest of Eastern AfricaServices,391,-0.950625978,0.312476942,17.97908243,Rest of Eastern Africa,Services,2011
2007DenmarkHousing,1.057583394,0.932051746,0,2004Rest of Eastern EuropeFood,8,-0.120088712,0.223336023,20,Rest of Eastern Europe,Food,2004
2007DenmarkPersonal Transportation,0.549170872,0.901088894,33.33333333,2004Rest of Eastern EuropeGoods,32,NA,NA,NA,Rest of Eastern Europe,Goods,2004
2007DenmarkGoods,0,0,0,2004Rest of Eastern EuropeGovernment,56,0.054343352,0.274711707,0,Rest of Eastern Europe,Government,2004
2007DenmarkServices,1.398849666,0.819172431,25,2004Rest of Eastern EuropeHousing,80,NA,NA,100,Rest of Eastern Europe,Housing,2004
2007DenmarkGross Fixed Capital Formation,0,0,0,2004Rest of Eastern EuropePersonal Transportation,128,0.263300738,0.456126672,0,Rest of Eastern Europe,Personal Transportation,2004
2007DenmarkGovernment,0.794373585,0.443402607,9.090909091,2004Rest of Eastern EuropeServices,104,0.450580595,0.547644326,0,Rest of Eastern Europe,Services,2004
2007EstoniaFood,0.000998841,0.233685187,20,2007Rest of Eastern EuropeFood,152,-0.812639202,0.163274559,20,Rest of Eastern Europe,Food,2007
2007EstoniaHousing,0.940147205,0.897563761,0,2007Rest of Eastern EuropeGoods,176,NA,NA,NA,Rest of Eastern Europe,Goods,2007
2007EstoniaPersonal Transportation,0.185834144,0.449575975,0,2007Rest of Eastern EuropeGovernment,200,0.182168883,0.294683238,0,Rest of Eastern Europe,Government,2007
2007EstoniaGoods,0,0,0,2007Rest of Eastern EuropeHousing,224,NA,NA,100,Rest of Eastern Europe,Housing,2007
2007EstoniaServices,0.992188691,0.692601216,12.5,2007Rest of Eastern EuropePersonal Transportation,272,0.196698133,0.450503361,0,Rest of Eastern Europe,Personal Transportation,2007
2007EstoniaGross Fixed Capital Formation,0,0,0,2007Rest of Eastern EuropeServices,248,0.50241051,0.562246173,0,Rest of Eastern Europe,Services,2007
2007EstoniaGovernment,0.267235561,0.352954988,9.090909091,2011Rest of Eastern EuropeFood,296,-0.187453537,0.217627429,20,Rest of Eastern Europe,Food,2011
2007FinlandFood,-0.0633806,0.228956632,20,2011Rest of Eastern EuropeGoods,320,NA,NA,NA,Rest of Eastern Europe,Goods,2011
2007FinlandHousing,0.989388077,0.912024537,0,2011Rest of Eastern EuropeGovernment,344,0.133428582,0.294743203,0,Rest of Eastern Europe,Government,2011
2007FinlandPersonal Transportation,0.245274195,0.454348321,0,2011Rest of Eastern EuropeHousing,368,NA,NA,100,Rest of Eastern Europe,Housing,2011
2007FinlandGoods,0,0,0,2011Rest of Eastern EuropePersonal Transportation,416,0.169228841,0.448178399,0,Rest of Eastern Europe,Personal Transportation,2011
2007FinlandServices,1.057768933,0.678391947,0,2011Rest of Eastern EuropeServices,392,0.663563382,0.596438842,0,Rest of Eastern Europe,Services,2011
2007FinlandGross Fixed Capital Formation,0,0,0,2004Rest of EuropeFood,9,-0.077786119,0.228638346,69.95213968,Rest of Europe,Food,2004
2007FinlandGovernment,0.457848641,0.387439766,9.090909091,2004Rest of EuropeGoods,33,NA,NA,NA,Rest of Europe,Goods,2004
2007FranceFood,0.196353773,0.254868759,20,2004Rest of EuropeGovernment,57,-0.015039997,0.293745595,33.88349148,Rest of Europe,Government,2004
2007FranceHousing,0.936523284,0.896499508,0,2004Rest of EuropeHousing,81,-1.194253688,0.270745158,17.01779989,Rest of Europe,Housing,2004
2007FrancePersonal Transportation,0.240214626,0.452226775,0,2004Rest of EuropePersonal Transportation,129,0.174147952,0.448582406,24.50399317,Rest of Europe,Personal Transportation,2004
2007FranceGoods,0,0,0,2004Rest of EuropeServices,105,0.458663341,0.451947595,45.59930887,Rest of Europe,Services,2004
2007FranceServices,0.758107624,0.574069903,12.5,2007Rest of EuropeFood,153,-0.155774849,0.220285388,20,Rest of Europe,Food,2007
2007FranceGross Fixed Capital Formation,0,0,0,2007Rest of EuropeGoods,177,NA,NA,NA,Rest of Europe,Goods,2007
2007FranceGovernment,0.033313489,0.327795156,9.090909091,2007Rest of EuropeGovernment,201,-0.036940552,0.252608128,6.002344202,Rest of Europe,Government,2007
2007GermanyFood,0.256593892,0.259483525,20,2007Rest of EuropeHousing,225,-1.223057572,0.262286198,17.01779989,Rest of Europe,Housing,2007
2007GermanyHousing,1.153128931,0.960111011,0,2007Rest of EuropePersonal Transportation,273,0.173676858,0.470627135,25.82464905,Rest of Europe,Personal Transportation,2007
2007GermanyPersonal Transportation,0.279655309,0.454137192,0,2007Rest of EuropeServices,249,0.460036629,0.514842117,13.73773445,Rest of Europe,Services,2007
2007GermanyGoods,0,0,0,2011Rest of EuropeFood,297,0.148825511,0.247915769,20,Rest of Europe,Food,2011
2007GermanyServices,1.065313087,0.688473259,0,2011Rest of EuropeGoods,321,NA,NA,NA,Rest of Europe,Goods,2011
2007GermanyGross Fixed Capital Formation,0,0,0,2011Rest of EuropeGovernment,345,0.012955884,0.25280941,7.189238041,Rest of Europe,Government,2011
2007GermanyGovernment,0.287701934,0.363855259,9.090909091,2011Rest of EuropeHousing,369,-1.264464226,0.25012613,17.01779989,Rest of Europe,Housing,2011
2007GreeceFood,-0.216889904,0.216351217,20,2011Rest of EuropePersonal Transportation,417,0.095667146,0.323356177,21.22382995,Rest of Europe,Personal Transportation,2011
2007GreeceHousing,0.400802041,0.739171969,0,2011Rest of EuropeServices,393,0.674074051,0.53773276,18.13842558,Rest of Europe,Services,2011
2007GreecePersonal Transportation,-0.121270462,0.42335957,0,2004Rest of Former Soviet UnionFood,10,-0.294203973,0.20835805,16.39549175,Rest of Former Soviet Union,Food,2004
2007GreeceGoods,0,0,0,2004Rest of Former Soviet UnionGoods,34,NA,NA,NA,Rest of Former Soviet Union,Goods,2004
2007GreeceServices,0.594336904,0.531281644,12.5,2004Rest of Former Soviet UnionGovernment,58,0.88576908,0.47432656,40.72544309,Rest of Former Soviet Union,Government,2004
2007GreeceGross Fixed Capital Formation,0,0,0,2004Rest of Former Soviet UnionHousing,82,NA,NA,100,Rest of Former Soviet Union,Housing,2004
2007GreeceGovernment,0.06968018,0.312349158,18.18181818,2004Rest of Former Soviet UnionPersonal Transportation,130,-0.12184414,0.370148775,4.232508926,Rest of Former Soviet Union,Personal Transportation,2004
2007HungaryFood,-0.548126917,0.187457131,20,2004Rest of Former Soviet UnionServices,106,0.39798215,0.48158643,18.84876339,Rest of Former Soviet Union,Services,2004
2007HungaryHousing,-0.008423124,0.618993071,0,2007Rest of Former Soviet UnionFood,154,0.018429235,0.195878905,2.539505356,Rest of Former Soviet Union,Food,2007
2007HungaryPersonal Transportation,0.06698863,0.439469234,0,2007Rest of Former Soviet UnionGoods,178,NA,NA,NA,Rest of Former Soviet Union,Goods,2007
2007HungaryGoods,0,0,0,2007Rest of Former Soviet UnionGovernment,202,1.19051842,0.499609868,39.57112248,Rest of Former Soviet Union,Government,2007
2007HungaryServices,0.962620657,0.653102221,0,2007Rest of Former Soviet UnionHousing,226,NA,NA,100,Rest of Former Soviet Union,Housing,2007
2007HungaryGross Fixed Capital Formation,0,0,0,2007Rest of Former Soviet UnionPersonal Transportation,274,-0.058225097,0.37550759,4.232508926,Rest of Former Soviet Union,Personal Transportation,2007
2007HungaryGovernment,-0.093782257,0.298587249,9.090909091,2007Rest of Former Soviet UnionServices,250,0.37117176,0.515541956,7.935954236,Rest of Former Soviet Union,Services,2007
2007IrelandFood,0.486989758,0.279869755,20,2011Rest of Former Soviet UnionFood,298,0.386792281,0.22695556,2.539505356,Rest of Former Soviet Union,Food,2011
2007IrelandHousing,-0.335876636,0.522828403,0,2011Rest of Former Soviet UnionGoods,322,NA,NA,NA,Rest of Former Soviet Union,Goods,2011
2007IrelandPersonal Transportation,0.388099564,0.464750987,0,2011Rest of Former Soviet UnionGovernment,346,0.316128138,0.503017366,47.50771096,Rest of Former Soviet Union,Government,2011
2007IrelandGoods,0,0,0,2011Rest of Former Soviet UnionHousing,370,NA,NA,100,Rest of Former Soviet Union,Housing,2011
2007IrelandServices,0.285481085,0.514031594,25,2011Rest of Former Soviet UnionPersonal Transportation,418,-0.042099336,0.376872506,4.232508926,Rest of Former Soviet Union,Personal Transportation,2011
2007IrelandGross Fixed Capital Formation,0,0,0,2011Rest of Former Soviet UnionServices,394,0.354483612,0.503447466,6.348763389,Rest of Former Soviet Union,Services,2011
2007IrelandGovernment,0.327176315,0.358630897,9.090909091,2004Rest of North AfricaFood,11,-0.380997981,0.158966202,2.961141285,Rest of North Africa,Food,2004
2007ItalyFood,0.011210336,0.23724615,20,2004Rest of North AfricaGoods,35,NA,NA,NA,Rest of North Africa,Goods,2004
2007ItalyHousing,1.1422884,0.956927426,0,2004Rest of North AfricaGovernment,59,-0.165419066,0.266444548,29.96467389,Rest of North Africa,Government,2004
2007ItalyPersonal Transportation,0.145867719,0.445020824,0,2004Rest of North AfricaHousing,83,-1.371825795,0.2185968,0,Rest of North Africa,Housing,2004
2007ItalyGoods,0,0,0,2004Rest of North AfricaPersonal Transportation,131,0.055674927,0.376210976,4.935235474,Rest of North Africa,Personal Transportation,2004
2007ItalyServices,0.90588412,0.64600683,0,2004Rest of North AfricaServices,107,-0.482434063,0.38422863,9.253566515,Rest of North Africa,Services,2004
2007ItalyGross Fixed Capital Formation,0,0,0,2007Rest of North AfricaFood,155,-0.415758691,0.155817624,2.961141285,Rest of North Africa,Food,2007
2007ItalyGovernment,0.029990529,0.32236308,9.090909091,2007Rest of North AfricaGoods,179,NA,NA,NA,Rest of North Africa,Goods,2007
2007LatviaFood,0.127890662,0.244430516,20,2007Rest of North AfricaGovernment,203,0.078620199,0.234165276,11.78285571,Rest of North Africa,Government,2007
2007LatviaHousing,0.394762035,0.737398174,0,2007Rest of North AfricaHousing,227,-1.385686729,0.214526201,0,Rest of North Africa,Housing,2007
2007LatviaPersonal Transportation,0.098107334,0.44215183,0,2007Rest of North AfricaPersonal Transportation,275,0.078919081,0.378180375,4.935235474,Rest of North Africa,Personal Transportation,2007
2007LatviaGoods,0,0,0,2007Rest of North AfricaServices,251,-0.543083482,0.374917814,9.253566515,Rest of North Africa,Services,2007
2007LatviaServices,1.036793328,0.599211943,12.5,2011Rest of North AfricaFood,299,0.230740833,0.210857425,2.961141285,Rest of North Africa,Food,2011
2007LatviaGross Fixed Capital Formation,0,0,0,2011Rest of North AfricaGoods,323,NA,NA,NA,Rest of North Africa,Goods,2011
2007LatviaGovernment,0.09211718,0.336364295,18.18181818,2011Rest of North AfricaGovernment,347,0.020867004,0.23465543,14.47480234,Rest of North Africa,Government,2011
2007LithuaniaFood,-0.011351557,0.232583345,20,2011Rest of North AfricaHousing,371,-1.406717973,0.208349866,0,Rest of North Africa,Housing,2011
2007LithuaniaHousing,-0.153132219,0.576495735,0,2011Rest of North AfricaPersonal Transportation,419,0.051936122,0.37587367,4.935235474,Rest of North Africa,Personal Transportation,2011
2007LithuaniaPersonal Transportation,0.07695254,0.440396177,0,2011Rest of North AfricaServices,395,-0.479024268,0.372444707,7.402853212,Rest of North Africa,Services,2011
2007LithuaniaGoods,0,0,0,2004Rest of North AmericaFood,12,-0.379438048,0.537908673,60,Rest of North America,Food,2004
2007LithuaniaServices,1.061744487,0.662377626,0,2004Rest of North AmericaGoods,36,NA,NA,NA,Rest of North America,Goods,2004
2007LithuaniaGross Fixed Capital Formation,0,0,0,2004Rest of North AmericaGovernment,60,0.552891742,0.781661326,63.63636364,Rest of North America,Government,2004
2007LithuaniaGovernment,0.097165805,0.339362898,18.18181818,2004Rest of North AmericaHousing,84,NA,NA,100,Rest of North America,Housing,2004
2007LuxembourgFood,0.089397488,0.243668391,20,2004Rest of North AmericaPersonal Transportation,132,1.514677968,0.982554965,33.33333333,Rest of North America,Personal Transportation,2004
2007LuxembourgHousing,1.067195736,0.934874644,0,2004Rest of North AmericaServices,108,1.325638732,0.722962365,25,Rest of North America,Services,2004
2007LuxembourgPersonal Transportation,0.196202241,0.450438462,0,2007Rest of North AmericaFood,156,-0.067467079,0.564496082,60,Rest of North America,Food,2007
2007LuxembourgGoods,0,0,0,2007Rest of North AmericaGoods,180,NA,NA,NA,Rest of North America,Goods,2007
2007LuxembourgServices,1.148955923,0.639089263,12.5,2007Rest of North AmericaGovernment,204,0.461689185,0.500258673,72.72727273,Rest of North America,Government,2007
2007LuxembourgGross Fixed Capital Formation,0,0,0,2007Rest of North AmericaHousing,228,NA,NA,100,Rest of North America,Housing,2007
2007LuxembourgGovernment,0.471011786,0.354131002,18.18181818,2007Rest of North AmericaPersonal Transportation,276,NA,NA,100,Rest of North America,Personal Transportation,2007
2007MaltaFood,-0.057610348,0.2303171,20,2007Rest of North AmericaServices,252,1.680865797,0.733333333,50,Rest of North America,Services,2007
2007MaltaHousing,1.052380054,0.930523659,0,2011Rest of North AmericaFood,300,0.479750291,0.611132126,60,Rest of North America,Food,2011
2007MaltaPersonal Transportation,-0.024498796,0.431796263,0,2011Rest of North AmericaGoods,324,NA,NA,NA,Rest of North America,Goods,2011
2007MaltaGoods,0,0,0,2011Rest of North AmericaGovernment,348,0.873910325,0.52852625,54.54545455,Rest of North America,Government,2011
2007MaltaServices,0.665104036,0.557265051,12.5,2011Rest of North AmericaHousing,372,NA,NA,100,Rest of North America,Housing,2011
2007MaltaGross Fixed Capital Formation,0,0,0,2011Rest of North AmericaPersonal Transportation,420,1.133305343,0.950376093,33.33333333,Rest of North America,Personal Transportation,2011
2007MaltaGovernment,0.12836949,0.33922039,9.090909091,2011Rest of North AmericaServices,396,0.687744104,0.719288577,25,Rest of North America,Services,2011
2007NetherlandsFood,0.487411024,0.280458929,20,2004Rest of OceaniaFood,13,-0.161058129,0.21739981,18.72052986,Rest of Oceania,Food,2004
2007NetherlandsHousing,1.201398114,0.974286428,0,2004Rest of OceaniaGoods,37,NA,NA,NA,Rest of Oceania,Goods,2004
2007NetherlandsPersonal Transportation,0.080405229,0.439782832,0,2004Rest of OceaniaGovernment,61,-0.367385748,0.123229095,25.97015287,Rest of Oceania,Government,2004
2007NetherlandsGoods,0,0,0,2004Rest of OceaniaHousing,85,NA,NA,100,Rest of Oceania,Housing,2004
2007NetherlandsServices,0.94632315,0.662971577,37.5,2004Rest of OceaniaPersonal Transportation,133,-0.092341366,0.064874873,31.07645761,Rest of Oceania,Personal Transportation,2004
2007NetherlandsGross Fixed Capital Formation,0,0,0,2004Rest of OceaniaServices,109,-1.328223479,0.154875685,57.16108136,Rest of Oceania,Services,2004
2007NetherlandsGovernment,0.509327303,0.397053893,9.090909091,2007Rest of OceaniaFood,157,0.092476887,0.239344992,18.72052986,Rest of Oceania,Food,2007
2007PolandFood,-0.122192931,0.223181964,20,2007Rest of OceaniaGoods,181,NA,NA,NA,Rest of Oceania,Goods,2007
2007PolandHousing,0,0,0,2007Rest of OceaniaGovernment,205,-0.418223682,0.114185553,34.08497509,Rest of Oceania,Government,2007
2007PolandPersonal Transportation,0.073770302,0.440005301,0,2007Rest of OceaniaHousing,229,NA,NA,100,Rest of Oceania,Housing,2007
2007PolandGoods,0,0,0,2007Rest of OceaniaPersonal Transportation,277,-0.092928698,0.076803463,31.07645761,Rest of Oceania,Personal Transportation,2007
2007PolandServices,0.707531789,0.540961423,12.5,2007Rest of OceaniaServices,253,-1.288675634,0.167950045,57.02634843,Rest of Oceania,Services,2007
2007PolandGross Fixed Capital Formation,0,0,0,2011Rest of OceaniaFood,301,0.302049375,0.258213218,18.72052986,Rest of Oceania,Food,2011
2007PolandGovernment,-0.027981207,0.308449477,9.090909091,2011Rest of OceaniaGoods,325,NA,NA,NA,Rest of Oceania,Goods,2011
2007PortugalFood,-0.191105847,0.217482905,20,2011Rest of OceaniaGovernment,349,-0.396077618,0.119806269,26.76779351,Rest of Oceania,Government,2011
2007PortugalHousing,0,0,0,2011Rest of OceaniaHousing,373,NA,NA,100,Rest of Oceania,Housing,2011
2007PortugalPersonal Transportation,0.160214091,0.447106619,0,2011Rest of OceaniaPersonal Transportation,421,-0.0585061,0.090364158,31.89407422,Rest of Oceania,Personal Transportation,2011
2007PortugalGoods,0,0,0,2011Rest of OceaniaServices,397,-1.041284521,0.145613755,45.74325414,Rest of Oceania,Services,2011
2007PortugalServices,0.688866847,0.459059358,25,2004Rest of South African Customs UnionFood,14,-0.55980291,0.192084506,20,Rest of South African Customs Union,Food,2004
2007PortugalGross Fixed Capital Formation,0,0,0,2004Rest of South African Customs UnionGoods,38,NA,NA,NA,Rest of South African Customs Union,Goods,2004
2007PortugalGovernment,0.327023958,0.376330098,9.090909091,2004Rest of South African Customs UnionGovernment,62,0.00054568,0.278775359,14.87182773,Rest of South African Customs Union,Government,2004
2007SlovakiaFood,-0.331297649,0.206101126,20,2004Rest of South African Customs UnionHousing,86,NA,NA,100,Rest of South African Customs Union,Housing,2004
2007SlovakiaHousing,0,0,0,2004Rest of South African Customs UnionPersonal Transportation,134,0.48227321,0.895444306,33.33333333,Rest of South African Customs Union,Personal Transportation,2004
2007SlovakiaPersonal Transportation,0.138303826,0.445501014,0,2004Rest of South African Customs UnionServices,110,-0.598533712,0.410666526,21.60247375,Rest of South African Customs Union,Services,2004
2007SlovakiaGoods,0,0,0,2007Rest of South African Customs UnionFood,158,-0.495013838,0.197079401,20,Rest of South African Customs Union,Food,2007
2007SlovakiaServices,0.409429004,0.489708553,12.5,2007Rest of South African Customs UnionGoods,182,NA,NA,NA,Rest of South African Customs Union,Goods,2007
2007SlovakiaGross Fixed Capital Formation,0,0,0,2007Rest of South African Customs UnionGovernment,206,-0.13022873,0.210781832,14.87182773,Rest of South African Customs Union,Government,2007
2007SlovakiaGovernment,-0.014305391,0.310458099,9.090909091,2007Rest of South African Customs UnionHousing,230,NA,NA,100,Rest of South African Customs Union,Housing,2007
2007SloveniaFood,0.053002941,0.240603874,20,2007Rest of South African Customs UnionPersonal Transportation,278,0.425276038,0.890635087,33.33333333,Rest of South African Customs Union,Personal Transportation,2007
2007SloveniaHousing,0,0,0,2007Rest of South African Customs UnionServices,254,-0.616389878,0.356536115,26.15371062,Rest of South African Customs Union,Services,2007
2007SloveniaPersonal Transportation,0.053110795,0.438367891,0,2011Rest of South African Customs UnionFood,302,-0.263897095,0.21753563,20,Rest of South African Customs Union,Food,2011
2007SloveniaGoods,0,0,0,2011Rest of South African Customs UnionGoods,326,NA,NA,NA,Rest of South African Customs Union,Goods,2011
2007SloveniaServices,0.890692139,0.580156357,12.5,2011Rest of South African Customs UnionGovernment,350,-0.097912704,0.245981873,14.87182773,Rest of South African Customs Union,Government,2011
2007SloveniaGross Fixed Capital Formation,0,0,0,2011Rest of South African Customs UnionHousing,374,NA,NA,100,Rest of South African Customs Union,Housing,2011
2007SloveniaGovernment,0.109944601,0.325333071,9.090909091,2011Rest of South African Customs UnionPersonal Transportation,422,0.434570102,0.891419287,33.33333333,Rest of South African Customs Union,Personal Transportation,2011
2007SpainFood,-0.033328326,0.231801083,20,2011Rest of South African Customs UnionServices,398,-0.441195651,0.424797611,7.948763127,Rest of South African Customs Union,Services,2011
2007SpainHousing,0,0,0,2004Rest of South AmericaFood,15,0.047451426,0.191942101,0,Rest of South America,Food,2004
2007SpainPersonal Transportation,0.418654297,0.467311081,0,2004Rest of South AmericaGoods,39,NA,NA,NA,Rest of South America,Goods,2004
2007SpainGoods,0,0,0,2004Rest of South AmericaGovernment,63,0.015851075,0.245892862,18.18181818,Rest of South America,Government,2004
2007SpainServices,0.931430683,0.611283186,25,2004Rest of South AmericaHousing,87,NA,NA,100,Rest of South America,Housing,2004
2007SpainGross Fixed Capital Formation,0,0,0,2004Rest of South AmericaPersonal Transportation,135,NA,NA,100,Rest of South America,Personal Transportation,2004
2007SpainGovernment,0.553591651,0.410184954,9.090909091,2004Rest of South AmericaServices,111,-0.618077941,0.276955836,62.5,Rest of South America,Services,2004
2007SwedenFood,0.005330776,0.237042059,20,2007Rest of South AmericaFood,159,-0.092395785,0.180158678,0,Rest of South America,Food,2007
2007SwedenHousing,0,0,0,2007Rest of South AmericaGoods,183,NA,NA,NA,Rest of South America,Goods,2007
2007SwedenPersonal Transportation,0.314907736,0.8813226,33.33333333,2007Rest of South AmericaGovernment,207,0.040457047,0.310369049,9.090909091,Rest of South America,Government,2007
2007SwedenGoods,0,0,0,2007Rest of South AmericaHousing,231,NA,NA,100,Rest of South America,Housing,2007
2007SwedenServices,1.518599995,0.765996731,0,2007Rest of South AmericaPersonal Transportation,279,0.243505359,0.87529792,33.33333333,Rest of South America,Personal Transportation,2007
2007SwedenGross Fixed Capital Formation,0,0,0,2007Rest of South AmericaServices,255,-0.332211862,0.358834828,12.5,Rest of South America,Services,2007
2007SwedenGovernment,0.60694695,0.414880293,9.090909091,2011Rest of South AmericaFood,303,0.146035555,0.200751778,0,Rest of South America,Food,2011
2007United KingdomFood,0.279649744,0.261979303,20,2011Rest of South AmericaGoods,327,NA,NA,NA,Rest of South America,Goods,2011
2007United KingdomHousing,0,0,0,2011Rest of South AmericaGovernment,351,0.098605383,0.321782215,9.090909091,Rest of South America,Government,2011
2007United KingdomPersonal Transportation,0.429728387,0.466942332,0,2011Rest of South AmericaHousing,375,NA,NA,100,Rest of South America,Housing,2011
2007United KingdomGoods,0,0,0,2011Rest of South AmericaPersonal Transportation,423,0.257822862,0.455660025,0,Rest of South America,Personal Transportation,2011
2007United KingdomServices,0.486131758,0.532588407,12.5,2011Rest of South AmericaServices,399,-0.231893237,0.373985096,12.5,Rest of South America,Services,2011
2007United KingdomGross Fixed Capital Formation,0,0,0,2004Rest of South AsiaFood,16,-0.499480026,0.144523576,0.525593806,Rest of South Asia,Food,2004
2007United KingdomGovernment,0.394239245,0.382921432,9.090909091,2004Rest of South AsiaGoods,40,NA,NA,NA,Rest of South Asia,Goods,2004
2007SwitzerlandFood,0.314045947,0.264687108,20,2004Rest of South AsiaGovernment,64,-2.404935489,0.210404673,62.68073854,Rest of South Asia,Government,2004
